name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Edinburgh,2023-12-02,0.9,-6.9,-2.3,0.9,-6.9,-2.5,-2.9,95.6,1.1,100,20.83,snow,0.6,1.8,16.2,7.6,279.4,1011.3,76.8,6.2,12,1.1,1,10,2023-12-02T08:20:34,2023-12-02T15:43:22,0.66,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"E4719,EGPF,EGPH,EGQL"
Edinburgh,2023-12-03,1.9,-2,0.1,1,-3.1,-0.6,-0.6,94.8,0.9,100,12.5,"rain,snow",1.2,1.3,19.8,7.8,274.5,1010,85.5,5.6,11.2,1,1,10,2023-12-03T08:22:11,2023-12-03T15:42:33,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,snow,"E4719,EGPF,EGPH,EGQL"
Edinburgh,2023-12-04,6,1,3.9,2.1,-1.6,0.6,2.4,89.9,10.7,100,58.33,"rain,snow",0.1,1.8,64.4,38.5,54.7,1006.3,93.6,8.5,5.9,0.5,1,10,2023-12-04T08:23:45,2023-12-04T15:41:49,0.73,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"E4719,EGPF,EGPH,EGQL"
Edinburgh,2023-12-05,6,-2,3,3.9,-4.9,1.3,1.3,88.5,1.5,100,16.67,rain,0,0,45.7,20.9,22.8,1014.8,74.2,9.9,8,0.8,1,10,2023-12-05T08:25:16,2023-12-05T15:41:08,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"E4719,EGPF,EGPH,EGQL"
Edinburgh,2023-12-06,2.3,-4.9,-0.7,1.5,-4.9,-2.2,-2.7,86.9,0.1,29,4.17,"rain,snow",0,0,44.6,19.1,152.2,1015.8,81.5,14,24.1,2.1,2,10,2023-12-06T08:26:44,2023-12-06T15:40:31,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E4719,EGPF,EGPH,EGQL"
Edinburgh,2023-12-07,4.3,1.6,3,0.9,-2.5,-1.7,1,86.6,4.7,100,37.5,rain,0,0,67,34.2,152.8,1001.7,99.7,21.5,6,0.5,1,10,2023-12-07T08:28:10,2023-12-07T15:39:57,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
Edinburgh,2023-12-08,9.2,4.4,7.1,5.6,1.7,3.6,5,86.9,4.1,80.6,50,rain,0,0,73.8,38.9,181.6,991.2,95.1,21.8,2.4,0.1,0,10,2023-12-08T08:29:32,2023-12-08T15:39:28,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Edinburgh,2023-12-09,9.4,6.7,7.8,5.2,1.9,3.7,5.3,84.1,3.2,64.5,12.5,rain,0,0,79.2,41.4,233.8,989.8,76.3,21.1,6.5,0.5,1,10,2023-12-09T08:30:51,2023-12-09T15:39:03,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,
Edinburgh,2023-12-10,7.2,5.8,6.4,4.5,1.4,2.8,4.3,86.4,3.5,48.4,8.33,rain,0,0,62.6,33.5,228,994.3,72.6,22.7,3.3,0.2,0,10,2023-12-10T08:32:07,2023-12-10T15:38:42,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
Edinburgh,2023-12-11,7.8,5.5,6.7,5.9,2.7,4.1,4.1,83.1,0,48.4,0,rain,0,0,49.7,27.7,236.5,1003.2,72.9,23.7,10.4,0.9,0,10,2023-12-11T08:33:20,2023-12-11T15:38:25,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edinburgh,2023-12-12,7.6,6.1,7,6.6,4.4,5.6,5.3,89,3.9,45.2,25,rain,0,0,34.1,13.3,263.1,999.5,95.8,22.3,10.5,0.9,1,10,2023-12-12T08:34:30,2023-12-12T15:38:13,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
Edinburgh,2023-12-13,7.4,4.5,6.2,6.9,1.4,3.9,3.2,81.1,0.5,38.7,8.33,rain,0,0,50.3,24.4,263,1014.6,67.5,24.1,14.6,1.4,1,10,2023-12-13T08:35:35,2023-12-13T15:38:04,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edinburgh,2023-12-14,8.9,5.8,7.3,6.2,2.3,4,3.7,77.8,0.2,54.8,4.17,rain,0,0,51.1,25.9,251.9,1024.2,81.1,24.1,14.3,1.2,1,10,2023-12-14T08:36:38,2023-12-14T15:38:00,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Edinburgh,2023-12-15,10,7.3,8.4,6.7,4,4.9,5.7,83,0.7,54.8,8.33,rain,0,0,68,35.3,236.8,1026.4,99.9,24,11.4,0.9,1,10,2023-12-15T08:37:36,2023-12-15T15:38:00,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Edinburgh,2023-12-16,8.1,6.2,6.9,5,2.2,3,1.6,69.2,0,22.6,0,,0,0,61.6,29.8,261.4,1027.6,89,24.1,21.4,2,1,10,2023-12-16T08:38:31,2023-12-16T15:38:04,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Edinburgh,2023-12-17,7.3,6.6,6.9,5.9,2.5,3.7,3.1,76.7,0.3,38.7,12.5,rain,0,0,62.3,30.2,259.4,1023.3,97.2,24.1,13.5,1.2,1,10,2023-12-17T08:39:22,2023-12-17T15:38:13,0.16,Overcast,Cloudy skies throughout the day.,cloudy,
Edinburgh,2023-12-18,6.8,3.7,4.7,6.8,2.4,4,0.2,73,0.6,51.6,4.17,rain,0,0,16.9,11.5,95.3,1021.3,98.9,24.1,16.1,1.5,1,10,2023-12-18T08:40:09,2023-12-18T15:38:25,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
Edinburgh,2023-12-19,3.7,2.1,2.7,3.2,2,2.4,1.2,90.6,10.7,51.6,25,rain,0.2,0,13.7,6.5,160.8,1013.2,100,6.8,0.9,0,0,10,2023-12-19T08:40:52,2023-12-19T15:38:42,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow.,snow,
Edinburgh,2023-12-20,4.2,2.6,3.5,4.1,2.6,3.3,2.5,93.7,1.9,38.7,33.33,rain,0,0.1,9,5,307.3,1018.7,99.9,11.1,3.6,0.3,0,10,2023-12-20T08:41:31,2023-12-20T15:39:04,0.27,Overcast,Cloudy skies throughout the day.,cloudy,
Edinburgh,2023-12-21,6.7,1.8,4.5,0,0,-1.1,2.4,86.7,3.1,0,0,,,7.3,63.4,27.7,208.7,1009.2,50.5,16.3,,,,,2023-12-21T08:42:06,2023-12-21T15:39:29,0.3,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-22,7.1,2.7,5,0,0,-0.9,3.1,87.7,3.4,0,0,,,7,59.4,25.6,220.3,1010.2,55,16.3,,,,,2023-12-22T08:42:37,2023-12-22T15:39:59,0.34,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-23,8.7,2.9,5.9,0,0,-0.2,3.8,86.4,2.1,0,0,,,6.7,66.6,32,221.3,1009.2,53.5,17,,,,,2023-12-23T08:43:04,2023-12-23T15:40:33,0.37,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-24,7.5,2.2,4.7,0,0,-1.9,2.6,86.9,2,0,0,,,8.5,81.4,31.7,223.9,1008.8,44.9,17.1,,,,,2023-12-24T08:43:27,2023-12-24T15:41:11,0.41,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-25,6.7,0.3,4,0,0,-2.2,2.4,89.5,1,0,0,,,7.1,83.5,25.9,227.9,1011,46.2,18,,,,,2023-12-25T08:43:45,2023-12-25T15:41:54,0.45,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-26,5.6,0.9,3.6,0,0,-1.6,1.9,89.2,3.2,0,0,,,6.2,65.2,22.3,202.8,1012,51.6,15.4,,,,,2023-12-26T08:43:59,2023-12-26T15:42:40,0.48,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-27,5.6,1.3,3.6,0,0,-1,1.9,88.9,3.4,0,0,,,122,62.6,25.2,194.8,1011,51.7,16.2,,,,,2023-12-27T08:44:09,2023-12-27T15:43:30,0.5,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-28,6.2,1.6,4,0,0,-1.2,1.8,86.1,2.7,0,0,,,3.6,69.8,25.9,209.1,1011.9,41.4,17.3,,,,,2023-12-28T08:44:15,2023-12-28T15:44:24,0.55,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-29,6.4,0.8,3.7,0,0,-1.8,1.6,86.3,0.7,0,0,,,4.5,64.8,27,197.5,1011.5,36,16.5,,,,,2023-12-29T08:44:16,2023-12-29T15:45:22,0.58,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-30,6.9,1.2,4.2,0,0,-1.8,2.2,86.7,3,0,0,,,5.2,65.9,27.7,215.1,1010.7,49.5,14.4,,,,,2023-12-30T08:44:14,2023-12-30T15:46:24,0.61,Partially cloudy,,partly-cloudy-day,
Edinburgh,2023-12-31,7.3,1.5,4.8,0,0,-1.2,2.7,86.3,1.5,0,0,,,4.4,72.4,31.7,212,1007.8,53.8,17.3,,,,,2023-12-31T08:44:07,2023-12-31T15:47:30,0.64,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-01,7.1,1.6,4.4,0,0,-1.3,2.1,85.4,3.5,0,0,,,123,62.6,26.6,209.4,1008,45.1,18.7,,,,,2024-01-01T08:43:56,2024-01-01T15:48:39,0.68,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-02,5.9,1.4,3.7,0,0,-2.1,1.5,86,1.6,0,0,,,5.7,58.3,26.3,198.7,1012.9,50.6,18.6,,,,,2024-01-02T08:43:41,2024-01-02T15:49:52,0.71,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-03,6.6,2.1,4.5,0,0,-1.8,1.9,83.4,1.5,0,0,,,7.2,72,31.7,213.9,1010.4,53.3,18.4,,,,,2024-01-03T08:43:21,2024-01-03T15:51:08,0.74,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-04,6,1.8,3.9,0,0,-1.4,1.7,85.6,1.3,0,0,,,11.3,63.7,27.4,222.1,1009.3,56.4,16.2,,,,,2024-01-04T08:42:58,2024-01-04T15:52:28,0.75,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-05,6.4,1.7,4.2,0,0,-1.4,2,86,1.4,0,0,,,8.8,63.7,27.4,207.8,1009.5,55.6,17.3,,,,,2024-01-05T08:42:30,2024-01-05T15:53:50,0.81,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-06,7,1.5,4.7,0,0,-1.6,2.3,85,0.9,0,0,,,8.6,65.9,26.6,212.4,1010.5,48.8,18,,,,,2024-01-06T08:41:59,2024-01-06T15:55:16,0.84,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-07,6.9,1.8,4.6,0,0,-0.8,2.5,86.4,3,0,0,,,8.8,71.6,26.6,214.4,1008.6,53.7,16.3,,,,,2024-01-07T08:41:23,2024-01-07T15:56:45,0.87,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-08,6.6,1.4,4.1,0,0,-1.7,2,86.7,2.4,0,0,,,8.2,69.5,26.3,212.9,1008.9,48.8,15.9,,,,,2024-01-08T08:40:44,2024-01-08T15:58:17,0.9,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-09,6.7,0.9,3.9,0,0,-2.2,1.7,86.1,2.9,0,0,,,8.6,70.6,29.9,219.2,1007.9,51.6,16.7,,,,,2024-01-09T08:40:01,2024-01-09T15:59:52,0.94,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-10,7.6,2.3,4.9,0,0,-1.3,2.5,85,3.2,0,0,,,8.3,65.2,32,207.8,1005.1,53.5,15.2,,,,,2024-01-10T08:39:14,2024-01-10T16:01:29,0.97,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-11,7.1,2,4.5,0,0,-1.5,2.1,84.9,3.7,0,0,,,4.6,75.6,30.6,217.1,1006.5,54.8,17.9,,,,,2024-01-11T08:38:24,2024-01-11T16:03:09,0,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-12,7.1,2.3,4.8,0,0,-1.1,2.2,84.3,3,0,0,,,2.7,75.6,31.3,206.6,1004.9,54.1,16.4,,,,,2024-01-12T08:37:29,2024-01-12T16:04:52,0.04,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-13,6.9,1.7,4.5,0,0,-1.3,2.1,85.2,1.6,0,0,,,1.9,61.9,26.6,210.5,1004.8,47.6,17,,,,,2024-01-13T08:36:32,2024-01-13T16:06:37,0.07,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-14,6.3,1.4,3.9,0,0,-1.4,1.6,85.5,1.2,0,0,,,0,66.6,25.2,213.8,1005.8,47.3,17.1,,,,,2024-01-14T08:35:30,2024-01-14T16:08:24,0.11,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-15,7.7,2.1,5.2,0,0,-1,2.8,84.9,1.6,0,0,,,0,68,29.2,203.4,1000.5,51.7,17.6,,,,,2024-01-15T08:34:26,2024-01-15T16:10:13,0.14,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-16,6.2,1.5,4,0,0,-1.4,1.6,84.8,1.3,0,0,,,0,58.3,24.8,220.4,1001.7,41.1,17.1,,,,,2024-01-16T08:33:17,2024-01-16T16:12:04,0.18,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-17,6.3,1.5,3.9,0,0,-2.2,1.6,85.4,0.7,0,0,,,1.5,60.8,26.3,221.9,1004.2,45.3,17.3,,,,,2024-01-17T08:32:06,2024-01-17T16:13:57,0.21,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-18,6.6,1.8,4.2,0,0,-1.6,1.9,85.4,1.1,0,0,,,2,56.5,28.1,219.5,1005.1,52.7,17.3,,,,,2024-01-18T08:30:51,2024-01-18T16:15:52,0.25,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-19,6.6,2.1,4.4,0,0,-1.2,2.4,86.9,1.2,0,0,,,3,69.1,24.1,219.7,1007.5,54.3,16.8,,,,,2024-01-19T08:29:34,2024-01-19T16:17:49,0.28,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-20,6.4,1.3,3.9,0,0,-1.5,1.8,86.8,1.3,0,0,,,0,77.4,25.2,212.2,1008.7,52.6,15.7,,,,,2024-01-20T08:28:13,2024-01-20T16:19:47,0.32,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-21,5.9,0.6,3.4,0,0,-2,1.3,86.5,1,0,0,,,0,51.5,21.6,188,1012.4,47.8,15.4,,,,,2024-01-21T08:26:49,2024-01-21T16:21:47,0.35,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-22,6.4,2,4.3,0,0,-1.1,1.8,84.5,0.5,0,0,,,0,63,25.6,221.8,1012.7,54.5,16.4,,,,,2024-01-22T08:25:23,2024-01-22T16:23:48,0.39,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-23,6.9,1.9,4.6,0,0,-1.5,2.1,84.5,0.8,0,0,,,0,62.3,25.2,219.6,1013.5,46,17.7,,,,,2024-01-23T08:23:53,2024-01-23T16:25:51,0.42,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-24,7.1,1.9,4.8,0,0,-1.5,2.3,84.8,2.2,0,0,,,0,54.4,27,219.6,1014,46.2,17.7,,,,,2024-01-24T08:22:21,2024-01-24T16:27:54,0.46,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-25,7.6,2.2,5.2,0,0,-0.6,2.8,84.5,1.8,0,0,,,1,59.4,28.1,209.5,1012.2,50.5,16.7,,,,,2024-01-25T08:20:46,2024-01-25T16:29:59,0.5,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-26,7.5,2.4,5,0,0,-0.6,2.6,84.9,1.8,0,0,,,0,64.1,26.6,211.5,1011.9,48.6,16.8,,,,,2024-01-26T08:19:08,2024-01-26T16:32:05,0.52,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-27,7.6,2.7,5.2,0,0,-0.7,2.6,84,1.2,0,0,,,0,57.6,28.8,230.1,1011.1,54.2,19.6,,,,,2024-01-27T08:17:28,2024-01-27T16:34:11,0.56,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-28,7.2,2.3,4.6,0,0,-1.5,2.1,84,1.1,0,0,,,0,72,29.9,232.9,1011,46,18.6,,,,,2024-01-28T08:15:46,2024-01-28T16:36:19,0.59,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-29,7.2,0.8,4,0,0,-2.2,1.5,84.1,1.9,0,0,,,2,85.7,27.4,224,1010.7,42.3,17.5,,,,,2024-01-29T08:14:01,2024-01-29T16:38:27,0.62,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-30,5.8,1.2,3.6,0,0,-2.4,1,83.5,0.4,0,0,,,2,63,27.4,214.5,1010.6,49.1,16.6,,,,,2024-01-30T08:12:13,2024-01-30T16:40:36,0.66,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-01-31,6.5,1.9,4.1,0,0,-2.4,1.5,84.1,2.8,0,0,,,1,56.9,29.9,205.8,1006.4,55.7,16.5,,,,,2024-01-31T08:10:24,2024-01-31T16:42:46,0.69,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-01,7.1,1.2,4.5,0,0,-1.8,1.6,81.7,1,0,0,,,0,65.5,28.1,217.9,1009.1,47.5,17.3,,,,,2024-02-01T08:08:32,2024-02-01T16:44:56,0.72,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-02,7.2,1.8,4.6,0,0,-1.5,1.6,81.6,1.2,0,0,,,2.8,63.7,30.6,231.6,1012.2,44.3,18.6,,,,,2024-02-02T08:06:38,2024-02-02T16:47:06,0.75,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-03,7.1,2,4.7,0,0,-2.1,2.2,84,1.7,0,0,,,122,61.9,31,210.1,1011.4,53.1,15.6,,,,,2024-02-03T08:04:43,2024-02-03T16:49:17,0.79,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-04,7.7,1.8,4.9,0,0,-2.2,2.4,84.2,1.4,0,0,,,122,67,29.5,221,1009.4,50.1,15.4,,,,,2024-02-04T08:02:45,2024-02-04T16:51:28,0.82,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-05,6.8,1.9,4.2,0,0,-1.8,1.8,84.9,1.9,0,0,,,0,52.9,25.9,205.7,1008.4,50.7,17,,,,,2024-02-05T08:00:45,2024-02-05T16:53:40,0.85,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-06,7.1,1.3,4.1,0,0,-1.9,1.5,83.7,0.8,0,0,,,2,49.3,25.6,221.1,1011.1,41.4,18.6,,,,,2024-02-06T07:58:43,2024-02-06T16:55:51,0.89,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-07,6.8,0.5,3.8,0,0,-2.8,1.2,83.9,2.6,0,0,,,2.3,69.1,29.5,224.6,1009.9,46.1,18.2,,,,,2024-02-07T07:56:40,2024-02-07T16:58:03,0.92,Partially cloudy,,partly-cloudy-day,
Edinburgh,2024-02-08,6.5,1.5,4.1,0,0,-2,1.2,82,0.9,0,0,,,2,59.8,27.7,217.7,1008.5,42,19.3,,,,,2024-02-08T07:54:35,2024-02-08T17:00:15,0.95,Partially cloudy,,partly-cloudy-day,
