name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London,2023-12-02,0.2,-2,-0.7,-1.2,-5.3,-3.3,-1.5,94.6,0,0,0,,0,0,31.7,11.2,279,1015.8,92.7,5.6,15.7,1.3,1,10,2023-12-02T07:44:52,2023-12-02T15:54:31,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"EGWU,EGLL,D5621,EGLC"
London,2023-12-03,8.6,-1.3,5.4,6.6,-4.6,2.9,3.8,89.8,3.7,100,37.5,"rain,snow",0,0,35.3,15,157.2,1010.6,80.5,9.6,11.8,1,1,10,2023-12-03T07:46:14,2023-12-03T15:53:57,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"EGWU,EGLL,D5621,EGLC"
London,2023-12-04,8,6,6.6,5.7,2,3.6,5.3,92.1,5.9,100,45.83,rain,0,0,36.4,22.4,110.1,997.6,93.8,8.5,4.5,0.5,0,10,2023-12-04T07:47:33,2023-12-04T15:53:27,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EGWU,EGLL,D5621,EGLC"
London,2023-12-05,7,5,6,4.6,2.6,3.9,4.4,89.6,6.1,100,54.17,rain,0,0,27.4,14.1,329.1,1008,88.7,8.6,13,1.2,1,10,2023-12-05T07:48:51,2023-12-05T15:52:59,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EGWU,EGLL,D5621,EGLC"
London,2023-12-06,5.1,1.3,3.2,5.1,-0.1,2.6,1.7,89.9,0,0,0,,0,0,12.2,8.6,334.7,1017.7,64.2,17.3,41.7,3.6,2,10,2023-12-06T07:50:06,2023-12-06T15:52:35,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGWU,EGLL,D5621,EGLC"
London,2023-12-07,6.9,4.1,6,4.7,2.5,3.1,3.9,86.3,5.1,93.5,54.17,rain,0,0,43.2,18.7,150.8,1009.5,99.7,22.1,14.2,1.3,1,10,2023-12-07T07:51:19,2023-12-07T15:52:14,0.82,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
London,2023-12-08,10.7,7.1,8.6,10.7,5.1,7,6.5,87.4,0,93.5,0,rain,0,0,41,18,216.2,1005.2,81.8,24.1,41.7,3.6,2,10,2023-12-08T07:52:30,2023-12-08T15:51:56,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
London,2023-12-09,12.7,7.3,10.2,12.7,4.9,9.2,8.2,87.6,7.8,80.6,16.67,rain,0,0,50.4,22.3,221.2,1004.1,84.2,21.7,7.4,0.7,1,10,2023-12-09T07:53:38,2023-12-09T15:51:42,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London,2023-12-10,12.6,8.2,10,12.6,5.9,8.7,8,87.1,4.5,67.7,12.5,rain,0,0,57.2,22,220.8,1006,90.1,24.1,13.5,1.2,1,10,2023-12-10T07:54:44,2023-12-10T15:51:31,0.92,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain.,rain,
London,2023-12-11,10.3,8.2,9.4,10.3,6.4,8.4,8.4,93.9,4.5,58.1,16.67,rain,0,0,37.1,14.4,215.8,1010.8,92.6,22.1,16.8,1.5,1,10,2023-12-11T07:55:47,2023-12-11T15:51:23,0.95,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
London,2023-12-12,11.6,8.7,10.5,11.6,5.4,9.7,7.4,81.3,1.4,41.9,25,rain,0,0,55.8,31,239,1006,88.1,24.1,14.8,1.2,1,10,2023-12-12T07:56:48,2023-12-12T15:51:19,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2023-12-13,8.9,6,7.8,6.6,3.9,5.6,4.5,79.5,0.6,32.3,12.5,rain,0,0,40.7,20.5,269,1013.5,66,23.7,10.5,0.9,1,10,2023-12-13T07:57:46,2023-12-13T15:51:19,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2023-12-14,8.6,5.9,7.1,7.5,3.7,5.5,3.8,79.7,0,19.4,0,,0,0,32.4,10.8,266.6,1030.2,84.6,24.1,20,1.7,1,10,2023-12-14T07:58:41,2023-12-14T15:51:21,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2023-12-15,9,6.1,7.6,7.2,4.5,5.8,5.4,85.9,0,12.9,0,,0,0,42.8,15.2,243,1036.4,97.4,24.1,33.1,2.7,1,10,2023-12-15T07:59:33,2023-12-15T15:51:28,0.09,Overcast,Cloudy skies throughout the day.,cloudy,
London,2023-12-16,10.3,8.3,9.4,10.3,5.8,8.1,8,91.2,0.1,12.9,4.17,rain,0,0,43.9,15.5,251.8,1033.8,93.1,24.1,12.1,0.9,1,10,2023-12-16T08:00:23,2023-12-16T15:51:37,0.13,Overcast,Cloudy skies throughout the day.,cloudy,
London,2023-12-17,9.8,6,7.6,8.5,3.9,5.8,5.6,87.4,1.4,19.4,16.67,rain,0,0,40.3,14.2,261.3,1029,86.6,22.8,10.4,0.6,1,10,2023-12-17T08:01:09,2023-12-17T15:51:50,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2023-12-18,10.6,6.4,8.4,10.6,4.6,6.6,6.2,86.5,1.5,16.1,25,rain,0,0,47.5,15.8,326.1,1019.7,100,22.1,1.5,0,0,10,2023-12-18T08:01:52,2023-12-18T15:52:06,0.2,Overcast,Cloudy skies throughout the day.,cloudy,
London,2023-12-19,6.4,4.2,5.6,5.8,1.4,3.8,1.6,75.8,4.6,19.4,16.67,rain,0,0,25.9,12.2,131.7,1015,100,19.7,6.8,0.6,0,10,2023-12-19T08:02:33,2023-12-19T15:52:26,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
London,2023-12-20,5.4,1.9,4.2,3.1,-1.6,1.7,-0.5,71.6,0.4,19.4,4.17,rain,0,0,32,12.7,50.9,1016,62.8,24.1,29.4,2.6,1,10,2023-12-20T08:03:10,2023-12-20T15:52:49,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London,2023-12-21,9.1,5.2,7.2,0,0,1.5,4.6,84,1.8,0,0,,,10.4,60.5,18,208.4,1016.3,23.3,12.5,,,,,2023-12-21T08:03:44,2023-12-21T15:53:16,0.3,Partially cloudy,,partly-cloudy-day,
London,2023-12-22,9.5,5.6,7.7,0,0,1.3,4.9,83,3.4,0,0,,,6.8,58.3,18.7,234.7,1016.7,21.4,14.3,,,,,2023-12-22T08:04:15,2023-12-22T15:53:46,0.34,Partially cloudy,,partly-cloudy-day,
London,2023-12-23,10,5.8,8.1,0,0,2.1,5.2,82.2,2.1,0,0,,,6.9,55.8,20.2,217,1017,24.9,13.7,,,,,2023-12-23T08:04:42,2023-12-23T15:54:19,0.37,Partially cloudy,,partly-cloudy-day,
London,2023-12-24,10.2,6.2,8.4,0,0,3.2,5.2,80.8,3,0,0,,,6.6,56.9,21.6,214.4,1013.9,26.7,14.6,,,,,2023-12-24T08:05:06,2023-12-24T15:54:55,0.41,Partially cloudy,,partly-cloudy-day,
London,2023-12-25,9,5,7,0,0,0.8,3.8,80.4,2,0,0,,,,57.2,20.2,201.2,1014,22.8,18.2,,,,,2023-12-25T08:05:27,2023-12-25T15:55:35,0.45,Partially cloudy,,partly-cloudy-day,
London,2023-12-26,8.7,4.3,6.6,0,0,0.2,3.4,80.8,2.2,0,0,,,,58.3,20.9,197.8,1013.6,20.8,17.6,,,,,2023-12-26T08:05:45,2023-12-26T15:56:17,0.48,Partially cloudy,,partly-cloudy-day,
London,2023-12-27,8.3,4.6,6.4,0,0,0.5,3.1,80,2,0,0,,,4.3,66.2,19.1,213.5,1011.9,21.5,17.2,,,,,2023-12-27T08:05:59,2023-12-27T15:57:03,0.5,Partially cloudy,,partly-cloudy-day,
London,2023-12-28,8.1,4,6.1,0,0,0.4,2.6,79.5,1.1,4.8,2,,,1.6,48.2,19.8,201.3,1014.7,17.5,16.8,,,,,2023-12-28T08:06:10,2023-12-28T15:57:52,0.55,Clear,,clear-day,
London,2023-12-29,8.3,3.5,5.8,0,0,0.3,3,82.5,3.1,4.8,2,,,1,47.2,20.9,207.3,1015.8,19.7,13.3,,,,,2023-12-29T08:06:17,2023-12-29T15:58:44,0.58,Clear,,clear-day,
London,2023-12-30,9,4.4,6.7,0,0,1.1,4,83.7,3.8,4.8,2,,,1,60.5,18.7,205.2,1016.4,23.1,12.2,,,,,2023-12-30T08:06:22,2023-12-30T15:59:39,0.61,Partially cloudy,,partly-cloudy-day,
London,2023-12-31,8.8,5.2,7.1,0,0,2.5,4,81.2,2.8,0,0,,,1,58.7,19.4,198.1,1016.7,31.5,14.5,,,,,2023-12-31T08:06:22,2023-12-31T16:00:37,0.64,Partially cloudy,,partly-cloudy-day,
London,2024-01-01,9.5,5.2,7.5,0,0,2.4,4.4,81.1,4.4,4.8,2,,,,56.5,19.4,214.5,1013.2,28.6,15.1,,,,,2024-01-01T08:06:20,2024-01-01T16:01:38,0.68,Partially cloudy,,partly-cloudy-day,
London,2024-01-02,8.8,4.4,6.6,0,0,0.6,2.9,77.8,2.7,0,0,,,,51.8,20.5,215.2,1015.6,27.8,15.7,,,,,2024-01-02T08:06:14,2024-01-02T16:02:41,0.71,Partially cloudy,,partly-cloudy-day,
London,2024-01-03,8.4,4,6.2,0,0,0.4,2.5,77.7,2.7,4.8,2,,,,63,21.2,193.5,1016,28.1,15.4,,,,,2024-01-03T08:06:04,2024-01-03T16:03:47,0.74,Partially cloudy,,partly-cloudy-day,
London,2024-01-04,8.3,4.2,6.2,0,0,1.1,2.9,79.6,1.4,0,0,,,,55.8,22,214.7,1015,26.8,14.1,,,,,2024-01-04T08:05:52,2024-01-04T16:04:56,0.75,Partially cloudy,,partly-cloudy-day,
London,2024-01-05,8.8,4.6,6.8,0,0,1.6,3.5,80.3,1.1,0,0,,,,60.5,19.8,212.1,1013.5,27.2,13.6,,,,,2024-01-05T08:05:36,2024-01-05T16:06:07,0.81,Partially cloudy,,partly-cloudy-day,
London,2024-01-06,8.7,4.5,6.7,0,0,1.5,3.5,80.6,3.3,0,0,,,4.8,53.3,17.3,191.8,1015.7,26.1,13.4,,,,,2024-01-06T08:05:16,2024-01-06T16:07:21,0.84,Partially cloudy,,partly-cloudy-day,
London,2024-01-07,8.9,4.8,6.9,0,0,1.1,3.6,80,2.1,4.8,2,,,6.3,61.9,21.2,209.3,1016.5,29.2,14.3,,,,,2024-01-07T08:04:54,2024-01-07T16:08:37,0.87,Partially cloudy,,partly-cloudy-day,
London,2024-01-08,9,4.9,7,0,0,1.7,3.6,79.9,2.5,4.8,2,,,6,58.7,22,200.2,1015.9,23.8,14.8,,,,,2024-01-08T08:04:28,2024-01-08T16:09:55,0.9,Partially cloudy,,partly-cloudy-day,
London,2024-01-09,8.6,4.3,6.5,0,0,0.7,3.3,80.4,1.2,0,0,,,5,61.2,20.5,201.8,1016.7,19.7,14.4,,,,,2024-01-09T08:03:59,2024-01-09T16:11:15,0.94,Clear,,clear-day,
London,2024-01-10,8.7,4.5,6.7,0,0,2,3.8,82.3,2,0,0,,,4.1,68.8,20.9,207.2,1016.3,27,12.8,,,,,2024-01-10T08:03:27,2024-01-10T16:12:38,0.97,Partially cloudy,,partly-cloudy-day,
London,2024-01-11,8.6,4.6,6.8,0,0,1.8,3.3,79.5,2.9,0,0,,,2.2,55.1,22.3,219.1,1016.9,26.8,13.6,,,,,2024-01-11T08:02:51,2024-01-11T16:14:03,0,Partially cloudy,,partly-cloudy-day,
London,2024-01-12,8.6,4.3,6.8,0,0,1,3.4,79.8,2.2,0,0,,,2,54.7,24.5,205.9,1016.3,25,14.2,,,,,2024-01-12T08:02:13,2024-01-12T16:15:29,0.04,Partially cloudy,,partly-cloudy-day,
London,2024-01-13,9,5.2,7.2,0,0,1.4,3.5,77.9,2,5,2,,,5.5,58,23,215.1,1013.5,20.7,15.9,,,,,2024-01-13T08:01:31,2024-01-13T16:16:58,0.07,Partially cloudy,,partly-cloudy-day,
