name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"York, England",2023-12-02,-0.2,-5.2,-2.4,-1.3,-7.1,-3.9,-3.1,94.8,0.5,100,12.5,"rain,snow",0.3,0,21.2,7.5,331,1013,90.3,4.8,45,3.9,3,10,2023-12-02T08:00:46,2023-12-02T15:46:15,0.66,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"EGXV,EGNM,F5682,EGXZ,EGNJ,EGXE"
"York, England",2023-12-03,0.3,-0.9,0,0.3,-3.7,-1.6,-0.2,98.6,10.5,100,45.83,"rain,snow",4.6,2.3,22.7,11.7,51,1009.5,97.5,2.2,6.2,0.5,0,10,2023-12-03T08:02:15,2023-12-03T15:45:33,0.7,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"EGXV,EGNM,F5682,EGXZ,EGNJ,EGXE"
"York, England",2023-12-04,5.3,0.3,3.4,2.3,-3.2,0.3,3,97.5,17.1,100,83.33,rain,0,0.6,25.2,16.9,36.7,1000.6,96.5,5.2,7.7,0.9,0,10,2023-12-04T08:03:42,2023-12-04T15:44:56,0.73,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"EGXV,EGNM,F5682,EGXZ,EGNJ,EGXE"
"York, England",2023-12-05,5.8,1.2,4.4,3.1,-1.8,1.2,2.6,88.3,4,100,37.5,rain,0,0,38.9,18.3,11.6,1010.9,69,9.7,23.9,2.2,2,10,2023-12-05T08:05:06,2023-12-05T15:44:21,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"EGXV,EGNM,F5682,EGXZ,EGNJ,EGXE"
"York, England",2023-12-06,2.3,-2.7,0,2.3,-4.6,-1.9,-1.1,92.7,0,12.9,0,,0,0,21.6,12.6,169.6,1017.1,52.7,17.6,39,3.3,2,10,2023-12-06T08:06:28,2023-12-06T15:43:51,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"EGXV,EGNM,F5682,EGXZ,EGNJ,EGXE"
"York, England",2023-12-07,5,0.5,3.6,0.5,-3.9,-1.1,2.4,92,19.7,100,87.5,"rain,snow",0,0,53.3,29.5,139.4,1007.2,99.9,20.5,1.6,0,0,10,2023-12-07T08:07:47,2023-12-07T15:43:24,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,
"York, England",2023-12-08,8.8,4.9,7,5.7,0.9,3.6,5.8,92.6,1.7,96.8,25,rain,0,0,40.3,22.7,180,998.4,93.8,24.1,21.8,1.8,1,10,2023-12-08T08:09:04,2023-12-08T15:43:00,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
"York, England",2023-12-09,11.7,6.1,8.3,11.7,2.7,5.7,6,85.7,5.8,71,12.5,rain,0,0,49.7,28.1,217.4,997,73.5,22.1,8.8,0.7,1,10,2023-12-09T08:10:18,2023-12-09T15:42:41,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"York, England",2023-12-10,9.2,6,7.4,7.1,3,4.5,5.9,90.1,7,51.6,8.33,rain,0,0,59,32,212.7,999.4,82.8,23.3,14.7,1.2,1,10,2023-12-10T08:11:29,2023-12-10T15:42:25,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
"York, England",2023-12-11,8.5,6,7.3,6.7,3.1,4.9,5.8,90,0,54.8,0,rain,0,0,45.4,22,211.1,1007.1,61.9,24.1,32.1,2.7,1,10,2023-12-11T08:12:37,2023-12-11T15:42:13,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"York, England",2023-12-12,9.7,7.2,8.3,8.3,4.8,6.2,6.5,88.9,0.8,54.8,16.67,rain,0,0,40.3,17.6,213.8,1000.7,91.7,24,19.4,1.5,1,10,2023-12-12T08:13:42,2023-12-12T15:42:04,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,
"York, England",2023-12-13,8.3,5.3,7.3,5.9,2.8,4.7,4.6,83.1,0.7,35.5,16.67,rain,0,0,47.9,27.7,324.5,1013.4,96.9,24.1,12,0.9,1,10,2023-12-13T08:14:43,2023-12-13T15:42:00,0.02,Overcast,Cloudy skies throughout the day.,cloudy,
"York, England",2023-12-14,8.8,4.8,6.3,5.9,2.1,3.4,4.1,85.7,0,35.5,0,,0,0,47.5,20.9,270.6,1027.2,61.4,24.1,33.9,3,1,10,2023-12-14T08:15:42,2023-12-14T15:41:59,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"York, England",2023-12-15,9.3,4.5,7.1,6.4,1.8,4.1,5,87.4,0,25.8,0,,0,0,52.3,26,245.3,1031.8,87.5,24.1,27.4,2.4,1,10,2023-12-15T08:16:38,2023-12-15T15:42:02,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"York, England",2023-12-16,9.7,6.4,7.9,7.2,2.3,4.8,5.2,82.8,0,25.8,0,,0,0,52.6,26.6,273.6,1030.5,83.5,24.1,31.8,2.7,1,10,2023-12-16T08:17:30,2023-12-16T15:42:09,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"York, England",2023-12-17,7.8,5.9,6.9,5.7,1.9,3.6,4.1,82.8,0.9,29,12.5,rain,0,0,51.5,25.2,273.6,1025.3,75.9,22.3,21.6,2.1,1,10,2023-12-17T08:18:18,2023-12-17T15:42:20,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"York, England",2023-12-18,7,3.4,5.4,5.8,2.1,3.9,2.9,84.2,3.7,32.3,20.83,rain,0,0,21.2,12.6,14.9,1020.5,92,22.9,23.8,2.3,1,10,2023-12-18T08:19:03,2023-12-18T15:42:34,0.2,Overcast,Cloudy skies throughout the day.,cloudy,
"York, England",2023-12-19,4.2,2,3.1,3.5,-2.4,0.2,1.3,88.2,10,32.3,12.5,rain,0.3,0.1,41,18,148.3,1014.3,100,14.1,12.8,1.4,1,10,2023-12-19T08:19:45,2023-12-19T15:42:53,0.25,Overcast,Cloudy skies throughout the day.,snow,
"York, England",2023-12-20,4.2,2.5,3,4.2,-1.6,1.3,1.7,90.9,4.7,22.6,12.5,rain,0.1,0.2,38.2,17.3,118,1018.4,96.4,16.1,21.9,2,1,10,2023-12-20T08:20:23,2023-12-20T15:43:15,0.27,Overcast,Cloudy skies throughout the day.,snow,
"York, England",2023-12-21,7.1,2.3,4.7,0,0,-0.9,3.3,90.7,2.8,4.8,2,,,3.7,68.8,23.8,206.1,1012.5,60.6,12.4,,,,,2023-12-21T08:20:58,2023-12-21T15:43:41,0.3,Partially cloudy,,partly-cloudy-day,
"York, England",2023-12-22,7.7,3.3,5.5,0,0,-0.7,3.8,89.5,2.7,4.8,2,,,41.5,68.4,25.2,224.8,1013.4,55.7,15.3,,,,,2023-12-22T08:21:29,2023-12-22T15:44:11,0.34,Partially cloudy,,partly-cloudy-day,
