name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"newcastle, england",2023-12-02,-0.1,-7.8,-3.9,-0.1,-10.7,-4.8,-4.2,97.3,0.6,100,16.67,"rain,snow",0.1,2.7,12.2,7.6,251.5,1011.4,49.1,9.3,12.9,1.1,1,10,2023-12-02T08:08:30,2023-12-02T15:42:44,0.66,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"EGOM,EGNT,D7177,EGNV,EGQM,EGXE"
"newcastle, england",2023-12-03,0,-3,-1.4,0,-5.7,-2.6,-1.5,99.4,0.5,100,8.33,snow,0.3,2.9,14.8,11.6,297.9,1009.3,84.4,4.9,2.6,0.3,0,10,2023-12-03T08:10:02,2023-12-03T15:41:59,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"EGOM,EGNT,D7177,EGNV,EGQM,EGXE"
"newcastle, england",2023-12-04,5.9,-1.9,3.5,3.6,-4.1,0.5,3.3,98.5,20.4,100,70.83,rain,0,2.2,44.6,25.6,74.2,1002.6,88.8,7.9,5.6,0.4,0,10,2023-12-04T08:11:33,2023-12-04T15:41:18,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EGOM,EGNT,D7177,EGNV,EGQM,EGXE"
"newcastle, england",2023-12-05,5.9,0.1,3.8,3.4,-1.8,0.9,2.1,88.6,9.4,100,54.17,rain,0,0.7,48.2,27.4,53.7,1012.5,74.3,9.7,22.8,2.1,2,10,2023-12-05T08:13:00,2023-12-05T15:40:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"EGOM,EGNT,D7177,EGNV,EGQM,EGXE"
"newcastle, england",2023-12-06,2.1,-2.1,-0.1,2.1,-3,-0.9,-1.2,92.7,0,0,0,,0,0,16.6,7.9,183.5,1016.8,63.6,17.6,30.7,2.5,2,10,2023-12-06T08:14:25,2023-12-06T15:40:07,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"EGOM,EGNT,D7177,EGNV,EGQM,EGXE"
"newcastle, england",2023-12-07,4.6,0.3,3,0.3,-3.2,-1,1.5,89.8,13.2,96.8,66.67,"rain,snow",0.2,0.1,60.1,24.1,147.3,1005.9,99.9,19.4,2,0.1,0,10,2023-12-07T08:15:48,2023-12-07T15:39:37,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,
"newcastle, england",2023-12-08,9.2,4.3,6.3,6.8,0.3,3.1,5.4,94,1.1,93.5,25,rain,0,0,45.7,19.4,177.6,995.5,99,23.6,9.9,0.8,1,10,2023-12-08T08:17:07,2023-12-08T15:39:10,0.86,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,
"newcastle, england",2023-12-09,10.3,6.5,8.2,10.3,3,5.3,5.2,81.5,1.2,64.5,4.17,rain,0,0,61.6,25.9,233.4,993,82.4,22.5,8.9,0.7,1,10,2023-12-09T08:18:23,2023-12-09T15:38:48,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,
"newcastle, england",2023-12-10,7.9,5.6,6.7,6.1,3.1,4.1,4.4,85.8,2.7,58.1,12.5,rain,0,0,55.8,28.8,229.9,996.6,79.1,23,10.4,0.9,1,10,2023-12-10T08:19:37,2023-12-10T15:38:30,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"newcastle, england",2023-12-11,8.1,5.9,7.3,6.5,4,5.2,4.2,81.3,0,58.1,0,rain,0,0,48.6,25.2,226.3,1005.2,39.5,23.4,27.3,2.4,1,10,2023-12-11T08:20:47,2023-12-11T15:38:15,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
"newcastle, england",2023-12-12,9.3,7.6,8.5,7.9,5.5,6.7,5.8,83,1.6,35.5,16.67,rain,0,0,42.8,16.6,231.2,999.8,90,22.6,17.5,1.5,1,10,2023-12-12T08:21:54,2023-12-12T15:38:05,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"newcastle, england",2023-12-13,8.1,6,7.4,6.7,2.7,4.7,4,79.2,1.3,38.7,29.17,rain,0,0,45.4,27,299.7,1013.7,91.9,24,8.1,0.6,0,10,2023-12-13T08:22:58,2023-12-13T15:37:58,0.02,Overcast,Cloudy skies throughout the day.,cloudy,
"newcastle, england",2023-12-14,8.1,6.7,7.4,5.1,3.3,4.4,3.8,78.4,0.1,38.7,4.17,rain,0,0,52.2,23,271.3,1025.6,50.4,24.1,29.5,2.4,1,10,2023-12-14T08:23:58,2023-12-14T15:37:56,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"newcastle, england",2023-12-15,10.2,6.3,8.4,10.2,3.8,5.7,4.8,78.9,0,19.4,0,,0,0,62.6,31.7,247.7,1029.5,99.6,24.1,18.4,1.8,1,10,2023-12-15T08:24:55,2023-12-15T15:37:57,0.09,Overcast,Cloudy skies throughout the day.,cloudy,
"newcastle, england",2023-12-16,10.3,6.6,7.9,10.3,3.4,5,3.4,73.5,0,22.6,0,,0,0,53.2,22.3,270.1,1029.1,77.8,24.1,27.6,2.4,1,10,2023-12-16T08:25:49,2023-12-16T15:38:03,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"newcastle, england",2023-12-17,7.5,6.4,7,4.8,2.7,3.8,3.6,79,1.3,22.6,12.5,rain,0,0,55.1,22.3,280.2,1023.8,89.4,23.5,16.6,1.7,1,10,2023-12-17T08:26:39,2023-12-17T15:38:13,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"newcastle, england",2023-12-18,6.7,4.2,5.6,4.9,3.3,4,1.5,75.4,3,25.8,20.83,rain,0,0,19.8,11.5,334.9,1021,99.7,23.8,18.3,1.5,1,10,2023-12-18T08:27:25,2023-12-18T15:38:26,0.2,Overcast,Cloudy skies throughout the day.,cloudy,
"newcastle, england",2023-12-19,4.9,3.2,3.9,4.3,-0.1,1.6,1.2,83,3,25.8,12.5,rain,0,0,35.6,15.5,171.1,1014,100,14.8,11.6,1.2,0,10,2023-12-19T08:28:07,2023-12-19T15:38:44,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
"newcastle, england",2023-12-20,4.2,3.2,3.6,4.2,0.5,2.3,2.1,90.4,1.2,19.4,20.83,rain,0,0,25.2,9.7,179.5,1018.7,97.7,13,7.9,0.6,0,10,2023-12-20T08:28:46,2023-12-20T15:39:06,0.27,Overcast,Cloudy skies throughout the day.,cloudy,
"newcastle, england",2023-12-21,6.9,2.3,4.8,0,0,-0.7,2.5,85.9,2.6,0,0,,,7,64.1,27,217.1,1011.4,50.1,11.8,,,,,2023-12-21T08:29:21,2023-12-21T15:39:32,0.3,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-22,7.6,3.3,5.4,0,0,0.4,3.6,88.3,2.4,0,0,,,6.3,68.4,28.1,237,1011.4,50.5,10.7,,,,,2023-12-22T08:29:51,2023-12-22T15:40:02,0.34,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-23,8.5,3.3,6.1,0,0,0,3.7,85.3,1.5,0,0,,,7.5,62.6,29.9,237,1010.4,42.4,12.6,,,,,2023-12-23T08:30:18,2023-12-23T15:40:35,0.37,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-24,7.9,3.1,5.5,0,0,0.2,2.9,83.6,1.4,0,0,,,8,61.6,27,228.6,1007.8,40.7,14.7,,,,,2023-12-24T08:30:41,2023-12-24T15:41:13,0.41,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-25,6.7,1.8,4.6,0,0,-1,1.9,84.2,2.8,0,0,,,7.2,52.6,24.1,229.7,1009.2,42.7,14.4,,,,,2023-12-25T08:31:00,2023-12-25T15:41:55,0.45,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-26,6.1,1.9,3.9,0,0,-1.3,1.8,86.6,2.6,0,0,,,7.7,55.4,21.6,209.2,1009.4,44.2,13.9,,,,,2023-12-26T08:31:16,2023-12-26T15:42:40,0.48,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-27,5.8,1.9,3.9,0,0,-0.6,1.8,86.5,2.1,0,0,,,8.3,65.9,22,214.6,1008.1,43.5,13.4,,,,,2023-12-27T08:31:27,2023-12-27T15:43:29,0.5,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-28,6.2,1.6,3.9,0,0,-1.4,1.5,85.2,1.1,0,0,,,7.2,66.6,23.8,229.3,1010,38.9,13.5,,,,,2023-12-28T08:31:34,2023-12-28T15:44:22,0.55,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-29,6,0.9,3.5,0,0,-1.7,1.2,85.5,0.8,0,0,,,6.4,63,23.4,220.4,1011.2,36.5,13.7,,,,,2023-12-29T08:31:37,2023-12-29T15:45:18,0.58,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-30,7.2,1.5,4.5,0,0,-1.3,2.2,85.4,2.9,0,0,,,6.7,54.7,24.5,217.6,1011.6,44.6,13.5,,,,,2023-12-30T08:31:36,2023-12-30T15:46:18,0.61,Partially cloudy,,partly-cloudy-day,
"newcastle, england",2023-12-31,6.8,2.5,4.7,0,0,-0.7,2.2,84.3,2.2,0,0,,,6.5,60.8,27,220.7,1011.1,48.7,13.2,,,,,2023-12-31T08:31:31,2023-12-31T15:47:22,0.64,Partially cloudy,,partly-cloudy-day,
