name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
edinburgh,2020-04-01,10.8,5,7.7,10.8,2.1,5,3.5,75.1,0.006,100,4.17,rain,0,0,50,30.6,258.2,1021.3,72.5,25.5,141.1,12.1,8,,2020-04-01T06:42:22,2020-04-01T19:51:56,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03155099999"
edinburgh,2020-04-02,10,2.5,7.6,10,-1.4,3.9,1.5,66.3,0.025,100,8.33,rain,0,0,79,36,262.8,1009.6,50.7,24.8,149.3,12.9,5,,2020-04-02T06:39:45,2020-04-02T19:53:58,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03155099999"
edinburgh,2020-04-03,8.7,1.2,5,5.8,-2.9,1.8,1.4,77.8,0.005,100,4.17,rain,0,0,,21.6,246.3,1012.7,72.9,25.1,70.2,6.1,3,,2020-04-03T06:37:09,2020-04-03T19:56:00,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03162099999,03155099999"
edinburgh,2020-04-04,10.7,4.3,7.8,10.7,1.5,5.8,3.7,76.4,0.006,100,4.17,rain,0,0,46.4,28.7,214,1013.9,63.6,27.6,94,8.1,4,,2020-04-04T06:34:32,2020-04-04T19:58:02,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03162099999,03155099999"
edinburgh,2020-04-05,18.9,7,12.9,18.9,4.7,12,3.7,55.4,0,0,0,,0,0,50,24.4,153.5,1007.4,70.6,26.3,128.5,10.9,6,,2020-04-05T06:31:56,2020-04-05T20:00:04,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03155099999"
edinburgh,2020-04-06,14.9,5.8,11.3,14.9,3.2,10.7,4.7,64.7,0.05,100,4.17,rain,0,0,63.1,38.5,229.4,1008.5,50.7,21.4,146.4,12.8,6,,2020-04-06T06:29:21,2020-04-06T20:02:06,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03155099999"
edinburgh,2020-04-07,14.6,2.6,8.6,14.6,0.1,7.3,2.4,67.5,0,0,0,,0,0,48.2,29.8,222,1025.6,43.2,20.8,175.1,15.2,6,,2020-04-07T06:26:46,2020-04-07T20:04:08,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03155099999"
edinburgh,2020-04-08,16,5.5,10.7,16,2.9,9.3,4.8,68.4,0,0,0,,0,0,51.8,27,248,1023.6,62.9,19.8,177.9,15.3,6,,2020-04-08T06:24:11,2020-04-08T20:06:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03144099999,03158099999,E4719,03166099999,03171099999,EGPF,03140099999,EGPH,03155099999,EGQL"
edinburgh,2020-04-09,9.8,5.2,7.4,7.8,1.9,5,5.8,89.4,0.256,100,12.5,rain,0,0,,19,60.9,1027.5,88.6,13,79.6,6.8,3,,2020-04-09T06:21:37,2020-04-09T20:08:12,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03162099999,03155099999"
edinburgh,2020-04-10,13.2,4.9,8.8,13.2,3.4,8.4,6.9,88.7,0.006,100,4.17,rain,0,0,,11.1,40.6,1023.7,78.6,9.6,109,9.3,4,,2020-04-10T06:19:03,2020-04-10T20:10:14,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"03144099999,03158099999,E4719,03166099999,03171099999,EGPH,03162099999,03155099999"
