name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"newcastle, england",2020-04-01,10.8,5,7.3,10.8,1.8,4.6,2.1,70.5,0,0,0,,0,0,,30.6,271.9,1021.2,70.5,13.8,91.8,7.9,3,,2020-04-01T06:37:11,2020-04-01T19:44:21,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-02,11,4.9,8.1,11,0.4,5.1,1.1,62.8,0,0,0,,0,0,75.9,53.2,278.7,1009.7,52.3,14,154.8,13.3,5,,2020-04-02T06:34:39,2020-04-02T19:46:18,0.31,Partially cloudy,Partly cloudy throughout the day.,wind,"C3845,03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999"
"newcastle, england",2020-04-03,9.8,0,5.2,6.8,-3,2.3,0,69.6,0.015,100,4.17,rain,0,0,,27.9,261.9,1013.4,37.3,12.7,97.6,8.3,4,,2020-04-03T06:32:08,2020-04-03T19:48:15,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-04,11,2.3,7.9,11,1.8,7.2,2.7,71.5,0.329,100,4.17,rain,0,0,50,19.2,206.5,1015.6,34.7,13.4,120.5,10.5,4,,2020-04-04T06:29:36,2020-04-04T19:50:12,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-05,17.8,4.1,11.8,17.8,2.2,11.1,2.5,55.9,0,0,0,,0,0,81.7,32.4,161.4,1010.3,4.5,12.4,178.9,15.4,6,,2020-04-05T06:27:06,2020-04-05T19:52:09,0.41,Clear,Clear conditions throughout the day.,clear-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-06,14.8,5.8,11.6,14.8,4.2,11.2,2.8,55.5,0.151,100,12.5,rain,0,0,61.2,32.1,237.5,1010.8,27.3,12.8,194.7,17,8,,2020-04-06T06:24:35,2020-04-06T19:54:06,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-07,16.9,0.3,9.3,16.9,0.3,8.9,1.4,61.5,0.015,100,4.17,rain,0,0,46.4,19.3,205.1,1026.8,15.8,12.2,221.5,19.2,7,,2020-04-07T06:22:05,2020-04-07T19:56:02,0.48,Rain,Clear conditions throughout the day with afternoon rain.,rain,"03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999,03226099999,EGQM"
"newcastle, england",2020-04-08,17.8,2.1,10.8,17.8,2.1,10.6,3.2,60.8,0,0,0,,0,0,51.8,29.4,262.9,1024.2,13.9,14.4,229.1,19.7,7,,2020-04-08T06:19:36,2020-04-08T19:57:59,0.5,Clear,Clear conditions throughout the day.,clear-day,"EGOM,03275099999,03227099999,03257099999,EGNT,D7177,03226099999,03243399999,03240099999,03230099999,03224099999,03238099999,EGQM"
"newcastle, england",2020-04-09,8.9,6,7.2,7.1,3.3,5.1,5.2,87.2,0.167,100,8.33,rain,0,0,,17.4,85.1,1027.7,94.9,9.5,86.1,7.4,3,,2020-04-09T06:17:07,2020-04-09T19:59:56,0.55,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999"
"newcastle, england",2020-04-10,18.9,6.9,12,18.9,5.1,11.5,7.1,73.7,0,0,0,,0,0,,10.9,159.6,1023.8,46.6,8.2,150.1,13,6,,2020-04-10T06:14:38,2020-04-10T20:01:53,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C3845,03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999"
"newcastle, england",2020-04-11,18,8,14.2,18,6.9,14.2,7.8,66,0,0,0,,0,0,50,33.6,258.3,1019.3,26.9,11.6,193.5,16.7,7,,2020-04-11T06:12:10,2020-04-11T20:03:50,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-12,11,4.9,8.2,11,1.5,6.5,3.7,73.5,0.045,100,4.17,rain,0,0,50,26.1,32.2,1017.3,81.4,12,123.7,10.8,6,,2020-04-12T06:09:42,2020-04-12T20:05:47,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-13,6,-0.9,4.5,3,-0.9,1.1,-3.6,56.1,0,0,0,,0,0,57.6,28.2,41.4,1030.2,76.9,11.9,89.9,7.7,4,,2020-04-13T06:07:16,2020-04-13T20:07:44,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-14,12,-3.9,4.8,12,-6.2,3.3,-1.2,67.5,0,0,0,,0,0,,22.8,262,1027.2,11.3,11.7,216.6,18.8,7,,2020-04-14T06:04:49,2020-04-14T20:09:41,0.75,Clear,Clear conditions throughout the day.,clear-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-15,16.9,4,10,16.9,0.6,8.4,3.6,66.2,0,0,0,,0,0,,24.7,273.5,1020.7,5.6,12,247.1,21.3,7,,2020-04-15T06:02:24,2020-04-15T20:11:38,0.75,Clear,Clear conditions throughout the day.,clear-day,"03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999"
"newcastle, england",2020-04-16,11,3.1,7.6,11,3,6,3.9,78.5,0,0,0,,0,0,,23.8,68,1019.8,52.6,11.4,203.1,17.6,7,,2020-04-16T05:59:59,2020-04-16T20:13:35,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-17,9.8,5,7.4,7.5,2.1,5,2.9,73.8,0,0,0,,0,0,,20.3,96.9,1021.9,79.8,11.6,150.6,12.9,7,,2020-04-17T05:57:35,2020-04-17T20:15:32,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-18,9,4.8,6.4,6.5,1.8,4,0.9,68.5,0,0,0,,0,0,,16.8,73.5,1021.8,83.3,12.5,171.4,14.7,8,,2020-04-18T05:55:12,2020-04-18T20:17:29,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-19,11.9,1.3,6.9,11.9,0,6,2.8,77.3,0,0,0,,0,0,,20.3,81.5,1025,38.4,10.1,282.6,24.3,9,,2020-04-19T05:52:49,2020-04-19T20:19:25,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999,D5933"
"newcastle, england",2020-04-20,11,1.3,7.3,11,-0.4,6.1,2.5,73.2,0,0,0,,0,0,44.6,26,81.4,1026.4,15.6,12.2,261.1,22.5,8,,2020-04-20T05:50:28,2020-04-20T20:21:22,0.91,Clear,Clear conditions throughout the day.,clear-day,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-21,12,5,8.4,12,1.6,6.7,4.2,75.6,0,0,0,,0,0,46.4,25.4,82.5,1026.1,8.4,11.7,259.2,22.3,8,,2020-04-21T05:48:07,2020-04-21T20:23:19,0.95,Clear,Clear conditions throughout the day.,clear-day,"03243399999,03275099999,03257099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999"
"newcastle, england",2020-04-22,12.2,4.9,8.7,12.2,2.7,7.4,5.3,80.4,0,0,0,,0,0,,18.6,70.5,1026.7,15.4,10.6,253.6,22,8,,2020-04-22T05:45:47,2020-04-22T20:25:16,0.98,Clear,Clear conditions throughout the day.,clear-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-23,14,5,8.9,14,4.1,8.3,4.7,77.4,0,0,0,,0,0,,15,44.9,1024.2,47.4,11,180.7,15.4,7,,2020-04-23T05:43:28,2020-04-23T20:27:12,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-24,15,0.1,8,15,-2.3,7.7,2.7,72.6,0.01,100,4.17,rain,0,0,,16.4,84.1,1018,31.7,12.6,265.7,22.9,8,,2020-04-24T05:41:11,2020-04-24T20:29:09,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"EGOM,C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03224099999,03238099999,EGQM"
"newcastle, england",2020-04-25,16.9,5.9,9.4,16.9,4.1,8.9,5,75.2,0,0,0,,0,0,,14.4,129.1,1014.6,51,10.2,227.3,19.7,8,,2020-04-25T05:38:54,2020-04-25T20:31:05,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"C3845,03243399999,03275099999,EGNT,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-26,14.7,6,10.2,14.7,4,9.4,5,71,0,0,0,,0,0,,23.6,275.7,1009.1,23.3,11.6,121.6,10.7,5,,2020-04-26T05:36:38,2020-04-26T20:33:02,0.12,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-27,11.8,2.9,7.5,11.8,-0.4,6,1.9,68.6,0,0,0,,0,0,,18.2,351.9,1008.2,17.7,14.7,284.8,24.6,9,,2020-04-27T05:34:24,2020-04-27T20:34:58,0.15,Clear,Clear conditions throughout the day.,clear-day,"C3845,03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-28,9.9,-0.7,5.8,8.1,-2.5,4.6,1.4,75,0,0,0,,0,0,,14.8,69.4,1007.8,35,12.5,221.8,19.3,8,,2020-04-28T05:32:10,2020-04-28T20:36:54,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"C3845,03243399999,03275099999,F2046,EGNT,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-29,9.8,4.1,6.9,8.1,4.1,5.5,3.4,79.2,0.256,100,4.17,rain,0,0,,18.4,124,1000.7,52.4,11.8,53.9,4.7,3,,2020-04-29T05:29:58,2020-04-29T20:38:49,0.22,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-04-30,11.8,6.9,9.2,11.8,4.8,8.4,4.9,76,0.594,100,16.67,rain,0,0,46.4,14.1,160.8,990.1,69,10.8,108.6,9.3,4,,2020-04-30T05:27:48,2020-04-30T20:40:45,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
"newcastle, england",2020-05-01,12.1,5.1,8.6,12.1,3.3,7.5,4.7,77.6,6.518,100,8.33,rain,0,0,,16,320.7,994.7,51.3,12.2,170.8,14.7,6,,2020-05-01T05:25:38,2020-05-01T20:42:40,0.29,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"03243399999,03275099999,EGNT,D7177,03240099999,03230099999,03238099999"
