name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
peterborough,2020-04-01,8.7,0.3,4.9,6.2,-2.5,2.2,1,77.1,0,0,0,,,0,,18.3,275.2,1023.5,97.2,31.1,67.8,5.9,3,,2020-04-01T06:34:22,2020-04-01T19:36:10,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-02,12.6,3,8.1,12.6,-0.3,6.2,3.4,73.5,0,0,0,,,,57.6,32.7,275.9,1014.3,71,30.7,122.3,10.5,4,,2020-04-02T06:32:01,2020-04-02T19:37:55,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-03,11.6,4.1,7.4,11.6,1,5.5,1.6,67.6,0,0,0,,,,,19,264.2,1016.4,79,25.1,119.6,10.3,6,,2020-04-03T06:29:41,2020-04-03T19:39:40,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-04,14.9,2,8.9,14.9,-0.2,7.8,3.1,68.9,0,0,0,,,,,24.7,193.9,1019,35.7,31,179.3,15.3,6,,2020-04-04T06:27:22,2020-04-04T19:41:25,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-05,19.7,4.2,12,19.7,1.2,10.9,2.9,58.3,0,0,0,,,,50,29.2,152,1013.6,8.2,26.7,201.1,17.4,7,,2020-04-05T06:25:02,2020-04-05T19:43:10,0.41,Clear,Clear conditions throughout the day.,clear-day,"03462099999,03391099999,E7568,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-06,16.1,8,12.6,16.1,6.5,12.5,5.2,61.9,0.26,100,4.17,rain,,,,27.3,231.1,1015,53.7,38.4,158.8,13.7,6,,2020-04-06T06:22:44,2020-04-06T19:44:56,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"03462099999,03391099999,03583035034,E7568,03379099999,03392099999,03560099999,03482099999,03469099999"
peterborough,2020-04-07,17.7,3,10.8,17.7,0.4,10,2.8,60.1,0,0,0,,,,,17.6,140.3,1028.5,28.6,33.1,196.4,17,7,,2020-04-07T06:20:25,2020-04-07T19:46:41,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,03583035034,E7568,03392099999,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-08,20.3,5.8,13.3,20.3,5.8,13.2,5.7,62.4,0,0,0,,,,,10.1,82.5,1025,50,19.9,200.7,17.4,7,,2020-04-08T06:18:07,2020-04-08T19:48:26,0.5,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"E7568,03577035046,03560099999,EGYD,EGXC,03469099999,03462099999,03391099999,03379099999,EGYM,EGUL,EGUN,03482099999,EGXT"
peterborough,2020-04-09,17.1,7.9,11.5,17.1,6.3,10.7,7.1,75.4,0,0,0,,,,,24.9,43.1,1025.7,51.8,13.5,190.3,16.5,6,,2020-04-09T06:15:50,2020-04-09T19:50:11,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-10,21.3,7,13,21.3,5.4,12.3,7.3,71.7,0,0,0,,,,,17.8,114.9,1025.2,46.6,17.7,196.3,17.1,6,,2020-04-10T06:13:33,2020-04-10T19:51:56,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-11,22.9,7.7,15.4,22.9,6.1,15.1,7.5,62.2,0,0,0,,,,,16.3,214.4,1021.7,33.8,18.1,184,16,6,,2020-04-11T06:11:16,2020-04-11T19:53:42,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-12,20.1,8.2,13.7,20.1,4.1,13.1,9.2,76.2,0.818,100,8.33,rain,,,53.6,34.8,28.6,1015.3,40.9,19,203.3,17.4,6,,2020-04-12T06:09:01,2020-04-12T19:55:27,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"03462099999,03391099999,E7568,03379099999,03560099999,03482099999,03469099999"
peterborough,2020-04-13,8.1,5,6.8,4.4,1.4,2.6,0.5,65.3,0.557,100,8.33,rain,,0,57.6,34.2,39.3,1027.1,91.9,22.6,140.3,12.3,6,,2020-04-13T06:06:46,2020-04-13T19:57:12,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-14,11.6,3.4,7,11.6,1.5,5.5,-0.7,59.2,0,0,0,,,,,16.5,27.6,1028.7,54.2,29.9,229.3,19.8,7,,2020-04-14T06:04:31,2020-04-14T19:58:57,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
peterborough,2020-04-15,17.2,2.4,9.8,17.2,0,8.9,1.2,59.1,0,0,0,,,,,12.9,173.5,1022.6,29.6,27.4,231.5,20,7,,2020-04-15T06:02:17,2020-04-15T20:00:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"03462099999,03391099999,E7568,03379099999,03577035046,03560099999,03482099999,03469099999"
