date_of_service,scheduled_dept,scheduled_arr,day_of_week,tempmax,tempmin,precip,snow,windspeed,low,medium,high,prob_not_late,prob_late,predicted delay
2023-12-02,545,1007,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4950964926752323,0.5049035073247676,x>0
2023-12-02,1025,1442,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49580718634800885,0.5041928136519911,x>0
2023-12-02,1218,1641,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4940136528192968,0.5059863471807032,x>0
2023-12-02,1548,2015,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49624339516822563,0.5037566048317743,x>0
2023-12-02,1827,2258,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49640809347023684,0.5035919065297633,x>0
2023-12-02,615,1109,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49835457892514684,0.5016454210748531,x>0
2023-12-02,700,1128,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49726799341148453,0.5027320065885155,x>0
2023-12-02,730,1213,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49726799341148453,0.5027320065885155,x>0
2023-12-02,800,1226,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49726799341148453,0.5027320065885155,x>0
2023-12-02,830,1311,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49726799341148453,0.5027320065885155,x>0
2023-12-02,900,1327,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49580718634800885,0.5041928136519911,x>0
2023-12-02,930,1411,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49580718634800885,0.5041928136519911,x>0
2023-12-02,1030,1511,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49580718634800885,0.5041928136519911,x>0
2023-12-02,1100,1527,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49490498866317223,0.5050950113368279,x>0
2023-12-02,1130,1614,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4954070301113249,0.5045929698886751,x>0
2023-12-02,1230,1710,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4959251803542874,0.5040748196457125,x>0
2023-12-02,1300,1727,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4959251803542874,0.5040748196457125,x>0
2023-12-02,1330,1813,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4959251803542874,0.5040748196457125,x>0
2023-12-02,1430,1911,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.495040234538302,0.504959765461698,x>0
2023-12-02,1500,1929,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49441015661741455,0.5055898433825854,x>0
2023-12-02,1530,2013,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49624339516822563,0.5037566048317743,x>0
2023-12-02,1600,2025,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49624339516822563,0.5037566048317743,x>0
2023-12-02,1630,2114,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49624339516822563,0.5037566048317743,x>0
2023-12-02,1700,2123,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4946967420069662,0.5053032579930338,x>0
2023-12-02,1730,2159,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49640809347023684,0.5035919065297633,x>0
2023-12-02,1800,2238,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49640809347023684,0.5035919065297633,x>0
2023-12-02,1548,2015,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49624339516822563,0.5037566048317743,x>0
2023-12-02,1827,2258,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49640809347023684,0.5035919065297633,x>0
2023-12-02,730,1222,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49726799341148453,0.5027320065885155,x>0
2023-12-02,1500,1925,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4938441956285182,0.5061558043714818,x>0
2023-12-02,1000,1424,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.49580718634800885,0.5041928136519911,x>0
2023-12-02,1200,1628,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.4948691656227538,0.5051308343772463,x>0
2023-12-02,1400,1829,6,0.9,-6.9,1.1,0.6,7.6,1,1,1,0.495040234538302,0.504959765461698,x>0
2023-12-03,852,1310,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4982645557196083,0.5017354442803917,x>0
2023-12-03,1023,1442,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4968037141338189,0.5031962858661811,x>0
2023-12-03,1213,1635,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4950101149513204,0.5049898850486796,x>0
2023-12-03,1624,2047,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4972399350443902,0.5027600649556099,x>0
2023-12-03,1924,2335,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4957570127324038,0.5042429872675962,x>0
2023-12-03,848,1309,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4982645557196083,0.5017354442803917,x>0
2023-12-03,900,1318,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4968037141338189,0.5031962858661811,x>0
2023-12-03,930,1418,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4968037141338189,0.5031962858661811,x>0
2023-12-03,1003,1435,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4968037141338189,0.5031962858661811,x>0
2023-12-03,1030,1510,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4968037141338189,0.5031962858661811,x>0
2023-12-03,1100,1516,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4959014866291156,0.5040985133708844,x>0
2023-12-03,1122,1559,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4964035454718548,0.5035964545281452,x>0
2023-12-03,1130,1609,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4964035454718548,0.5035964545281452,x>0
2023-12-03,1230,1709,7,1.9,-2.0,0.9,1.2,7.8,1,1,1,0.4963877629193066,0.5036122370806935,x>0
